"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"SHREECEM","25,813.40","25,800.00","-13.40","-0.05","25,800.00",197,"5,082,600.00","344,605,708,756.58","25,979.50","15,410.00"
"IGL","550.70","550.00","-0.70","-0.13","550.00",1855,"1,020,250.00","192,745,220,280.00","553.75","284.05"
"TATASTEEL","713.15","712.00","-1.15","-0.16","712.00",41128,"29,283,136.00","538,248,519,840.34","731.50","250.85"
"BIOCON","465.65","464.65","-1.00","-0.21","464.65",7465,"3,468,612.25","206,748,600,000.00","487.75","235.55"
"HINDALCO","268.20","267.60","-0.60","-0.22","267.60",18371,"4,916,079.60","391,646,803,581.54","275.40","84.90"
"VOLTAS","902.20","900.00","-2.20","-0.24","900.00",2725,"2,452,500.00","208,966,948,699.60","909.40","427.45"
"AMBUJACEM","269.95","268.80","-1.15","-0.43","268.80",17431,"4,685,452.80","198,329,223,940.36","272.00","136.55"
"GRASIM","1,004.30","999.35","-4.95","-0.49","999.35",2762,"2,760,204.70","389,853,336,933.97","1,023.85","385.05"
"KOTAKBANK","1,970.70","1,960.00","-10.70","-0.54","1,960.00",15906,"31,175,760.00","2,887,156,264,961.62","2,027.00","1,001.00"
"MUTHOOTFIN","1,283.30","1,276.00","-7.30","-0.57","1,276.00",5841,"7,453,116.00","139,002,562,294.06","1,405.75","476.80"
"ULTRACEMCO","5,591.75","5,550.00","-41.75","-0.75","5,550.00",3021,"16,766,550.00","645,594,167,650.20","5,613.30","2,910.00"
"ACC","1,761.25","1,743.95","-17.30","-0.98","1,743.95",3441,"6,000,931.95","148,833,142,631.44","1,785.00","895.15"
"VEDL","182.05","179.25","-2.80","-1.54","179.25",189965,"34,051,226.25","324,823,511,102.38","189.75","60.20"
